33407402 INFO  [2013-11-03 23:52:45]  180-/-2349735-/-18470000
33414128 INFO  [2013-11-03 23:52:52]  180-/-2358659-/-18480000
33420688 INFO  [2013-11-03 23:52:58]  180-/-2367697-/-18490000
33427929 INFO  [2013-11-03 23:53:06]  180-/-2376678-/-18500000
33434842 INFO  [2013-11-03 23:53:13]  180-/-2385412-/-18510000
33441845 INFO  [2013-11-03 23:53:20]  180-/-2394351-/-18520000
33449035 INFO  [2013-11-03 23:53:27]  180-/-2403443-/-18530000
33457457 INFO  [2013-11-03 23:53:35]  180-/-2412499-/-18540000
33466880 INFO  [2013-11-03 23:53:45]  180-/-2421496-/-18550000
33476372 INFO  [2013-11-03 23:53:54]  180-/-2430465-/-18560000
33483045 INFO  [2013-11-03 23:54:01]  180-/-2439184-/-18570000
33491015 INFO  [2013-11-03 23:54:09]  180-/-2448508-/-18580000
33498977 INFO  [2013-11-03 23:54:17]  180-/-2457870-/-18590000
33506983 INFO  [2013-11-03 23:54:25]  180-/-2467273-/-18600000
33514318 INFO  [2013-11-03 23:54:32]  180-/-2476617-/-18610000
33521401 INFO  [2013-11-03 23:54:39]  180-/-2485650-/-18620000
33528777 INFO  [2013-11-03 23:54:46]  180-/-2494704-/-18630000
33536190 INFO  [2013-11-03 23:54:54]  180-/-2503775-/-18640000
33543733 INFO  [2013-11-03 23:55:01]  180-/-2512734-/-18650000
33550800 INFO  [2013-11-03 23:55:08]  180-/-2521789-/-18660000
33557832 INFO  [2013-11-03 23:55:16]  180-/-2530579-/-18670000
33565414 INFO  [2013-11-03 23:55:23]  180-/-2539884-/-18680000
33573696 INFO  [2013-11-03 23:55:31]  180-/-2549332-/-18690000
33581816 INFO  [2013-11-03 23:55:40]  180-/-2558637-/-18700000
33589560 INFO  [2013-11-03 23:55:47]  180-/-2567690-/-18710000
33596897 INFO  [2013-11-03 23:55:55]  180-/-2576998-/-18720000
33605218 INFO  [2013-11-03 23:56:03]  180-/-2586091-/-18730000
33612927 INFO  [2013-11-03 23:56:11]  180-/-2595236-/-18740000
33620635 INFO  [2013-11-03 23:56:18]  180-/-2604308-/-18750000
33628552 INFO  [2013-11-03 23:56:26]  180-/-2613462-/-18760000
33636102 INFO  [2013-11-03 23:56:34]  180-/-2622476-/-18770000
33644270 INFO  [2013-11-03 23:56:42]  180-/-2631689-/-18780000
33651588 INFO  [2013-11-03 23:56:49]  180-/-2640529-/-18790000
33659462 INFO  [2013-11-03 23:56:57]  180-/-2649582-/-18800000
33667288 INFO  [2013-11-03 23:57:05]  180-/-2658614-/-18810000
33674965 INFO  [2013-11-03 23:57:13]  180-/-2667664-/-18820000
33683318 INFO  [2013-11-03 23:57:21]  180-/-2677203-/-18830000
33691843 INFO  [2013-11-03 23:57:30]  180-/-2686896-/-18840000
33700551 INFO  [2013-11-03 23:57:38]  180-/-2696519-/-18850000
33710525 INFO  [2013-11-03 23:57:48]  180-/-2706141-/-18860000
33719367 INFO  [2013-11-03 23:57:57]  180-/-2715796-/-18870000
33728532 INFO  [2013-11-03 23:58:06]  180-/-2725437-/-18880000
33737814 INFO  [2013-11-03 23:58:16]  180-/-2735081-/-18890000
33746695 INFO  [2013-11-03 23:58:24]  180-/-2744639-/-18900000
33753278 INFO  [2013-11-03 23:58:31]  180-/-2753548-/-18910000
33762235 INFO  [2013-11-03 23:58:40]  180-/-2763155-/-18920000
33774099 INFO  [2013-11-03 23:58:52]  180-/-2772828-/-18930000
33784125 INFO  [2013-11-03 23:59:02]  180-/-2782454-/-18940000
33791883 INFO  [2013-11-03 23:59:10]  180-/-2791807-/-18950000
33799912 INFO  [2013-11-03 23:59:18]  180-/-2800469-/-18960000
33807657 INFO  [2013-11-03 23:59:25]  180-/-2809522-/-18970000
33815461 INFO  [2013-11-03 23:59:33]  180-/-2818212-/-18980000
33822697 INFO  [2013-11-03 23:59:40]  180-/-2827028-/-18990000
33830744 INFO  [2013-11-03 23:59:48]  180-/-2835920-/-19000000
33838310 INFO  [2013-11-03 23:59:56]  180-/-2844824-/-19010000
33845392 INFO  [2013-11-04 00:00:03]  180-/-2853735-/-19020000
33852259 INFO  [2013-11-04 00:00:10]  180-/-2862700-/-19030000
33860094 INFO  [2013-11-04 00:00:18]  180-/-2871553-/-19040000
33867194 INFO  [2013-11-04 00:00:25]  180-/-2880777-/-19050000
33874573 INFO  [2013-11-04 00:00:32]  180-/-2890212-/-19060000
33881678 INFO  [2013-11-04 00:00:39]  180-/-2899396-/-19070000
33888801 INFO  [2013-11-04 00:00:47]  180-/-2908401-/-19080000
33896410 INFO  [2013-11-04 00:00:54]  180-/-2917708-/-19090000
33903707 INFO  [2013-11-04 00:01:01]  180-/-2927190-/-19100000
33911429 INFO  [2013-11-04 00:01:09]  180-/-2936552-/-19110000
33918620 INFO  [2013-11-04 00:01:16]  180-/-2945844-/-19120000
33926303 INFO  [2013-11-04 00:01:24]  180-/-2955403-/-19130000
